learning_rate,batch_size,epochs,accuracy
0.001,16,5,0.6246843903163523
0.001,16,10,0.6254270013366998
0.001,16,20,0.6233476904797267
0.001,32,5,0.62839744541809
0.001,32,10,0.6246843903163523
0.001,32,20,0.6277290954997772
0.001,64,5,0.633818505866627
0.001,64,10,0.6337442447645923
0.001,64,20,0.636863211050052
0.01,16,5,0.5187880588147928
0.01,16,10,0.5242091192633299
0.01,16,20,0.5279221743650676
0.01,32,5,0.5529481657507798
0.01,32,10,0.5612654091786722
0.01,32,20,0.5525768602406059
0.01,64,5,0.5836922619931679
0.01,64,10,0.5792365958710828
0.01,64,20,0.5754492796673103
0.1,16,5,0.12104559631664934
0.1,16,10,0.15104708153869004
0.1,16,20,0.18275657210753007
0.1,32,5,0.13248180603000148
0.1,32,10,0.20258428635080944
0.1,32,20,0.22449131145106194
0.1,64,5,0.20109906431011437
0.1,64,10,0.24424476459230654
0.1,64,20,0.28902420911926335
