Mode,client,epoch,accuracy,time
Training Client,0,5,0.6144363582355562,7.825665473937988
Training Client,1,5,0.6096836477053319,7.317002296447754
Aggregated Model,0,5,0.593643249665825,0.008383035659790039
Aggregated Model,1,5,0.5854745284420021,0.008383035659790039
Training Client,0,10,0.6269122233773949,13.350226163864136
Training Client,1,10,0.6116144363582355,13.666840076446533
Aggregated Model,0,10,0.5957225605227982,0.00735926628112793
Aggregated Model,1,10,0.5939402940739641,0.00735926628112793
Training Client,0,20,0.6257240457448389,31.181332111358643
Training Client,1,20,0.610574780929749,30.469710111618042
Aggregated Model,0,20,0.5816129511361948,0.011632204055786133
Aggregated Model,1,20,0.5792365958710828,0.011632204055786133
Training Client,0,40,0.6276548343977425,66.01605200767517
Training Client,1,40,0.6128026139907916,56.59582996368408
Aggregated Model,0,40,0.5912668944007129,0.007323026657104492
Aggregated Model,1,40,0.583989306401307,0.007323026657104492
Training Client,0,60,0.6234962126837962,79.80431318283081
Training Client,1,60,0.6096836477053319,77.9864227771759
Aggregated Model,0,60,0.5967622159512848,0.007122993469238281
Aggregated Model,1,60,0.5823555621565424,0.007122993469238281
