Mode,client,epsilon,epoch,accuracy,time
Training Client,0,1,5,0.16827565721075302,22.86068105697632
Training Client,1,1,5,0.18134561116886974,21.232253551483154
Aggregated Model,0,1,5,0.16530521312936283,0.007245779037475586
Aggregated Model,1,1,5,0.1716916679043517,0.007245779037475586
Training Client,0,1,10,0.2618446457745433,40.399670362472534
Training Client,1,1,10,0.2714985890390613,39.89469528198242
Aggregated Model,0,1,10,0.23837813753156098,0.007012128829956055
Aggregated Model,1,1,10,0.23971483736818655,0.007012128829956055
Training Client,0,1,20,0.33892766968661814,77.82416462898254
Training Client,1,1,20,0.35036387939997027,77.3180456161499
Aggregated Model,0,1,20,0.2802613990791623,0.011511564254760742
Aggregated Model,1,1,20,0.2790732214466063,0.011511564254760742
Training Client,0,1,40,0.39506906282489235,152.32569098472595
Training Client,1,1,40,0.4039803950690628,151.82031893730164
Aggregated Model,0,1,40,0.3130848061785237,0.011099815368652344
Aggregated Model,1,1,40,0.3165008168721224,0.011099815368652344
Training Client,0,1,60,0.4051685727016189,227.05982756614685
Training Client,1,1,60,0.4035348284568543,226.77461314201355
Aggregated Model,0,1,60,0.30744096242388236,0.006900310516357422
Aggregated Model,1,1,60,0.3047675627506312,0.006900310516357422
Training Client,0,10,5,0.2657062230803505,30.00459909439087
Training Client,1,10,5,0.2596168127135007,26.98534321784973
Aggregated Model,0,10,5,0.24907173622456558,0.0074901580810546875
Aggregated Model,1,10,5,0.25278479132630327,0.0074901580810546875
Training Client,0,10,10,0.363136788949948,51.34808683395386
Training Client,1,10,10,0.37442447645923066,51.3706796169281
Aggregated Model,0,10,10,0.32882815980989155,0.007511615753173828
Aggregated Model,1,10,10,0.3292737264221001,0.007511615753173828
Training Client,0,10,20,0.4562602109015298,92.132315158844
Training Client,1,10,20,0.46398336551314423,89.54992580413818
Aggregated Model,0,10,20,0.3946234962126838,0.007459163665771484
Aggregated Model,1,10,20,0.4001188177632556,0.007459163665771484
Training Client,0,10,40,0.5085400267339968,183.75640988349915
Training Client,1,10,40,0.5082429823258577,181.19923400878906
Aggregated Model,0,10,40,0.42195158176147335,0.007498025894165039
Aggregated Model,1,10,40,0.42388237041437693,0.007498025894165039
Training Client,0,10,60,0.5168572701618892,266.19244956970215
Training Client,1,10,60,0.5222040695083915,274.29868030548096
Aggregated Model,0,10,60,0.39402940739640574,0.0076444149017333984
Aggregated Model,1,10,60,0.40056438437546416,0.0076444149017333984
Training Client,0,20,5,0.28976682013961086,34.268351793289185
Training Client,1,20,5,0.28724194267042924,34.986000061035156
Aggregated Model,0,20,5,0.265557700876281,0.011968612670898438
Aggregated Model,1,20,5,0.26615178969255904,0.011968612670898438
Training Client,0,20,10,0.3968513292737264,59.289244651794434
Training Client,1,20,10,0.3980395069062825,61.3510479927063
Aggregated Model,0,20,10,0.3309074706668647,0.007760286331176758
Aggregated Model,1,20,10,0.3304619040546562,0.007760286331176758
Training Client,0,20,20,0.48893509579682165,107.012948513031
Training Client,1,20,20,0.487004307143918,107.13722538948059
Aggregated Model,0,20,20,0.4302688251893658,0.0075626373291015625
Aggregated Model,1,20,20,0.4313084806178524,0.0075626373291015625
Training Client,0,20,40,0.5238378137531561,204.75306463241577
Training Client,1,20,40,0.5281449576711719,204.97103762626648
Aggregated Model,0,20,40,0.4629437100846577,0.014091730117797852
Aggregated Model,1,20,40,0.4616070102480321,0.014091730117797852
Training Client,0,20,60,0.5406208228130105,279.9480676651001
Training Client,1,20,60,0.5303727907322144,277.48962688446045
Aggregated Model,0,20,60,0.4265557700876281,0.011858701705932617
Aggregated Model,1,20,60,0.4225456705777514,0.011858701705932617
